category,product
Carne & Peixe,Chouriço
Frutas & Legumes,Laranja
Carne & Peixe,Bacalhau
Carne & Peixe,Frango
Casa,Papel A4
Lacticínios,Ovos
Frutas & Legumes,Batatas
Frutas & Legumes,Chia
Casa,Luvas
Casa,Detergente roupa
Higiene & Saúde,Amaciador cabelo
Frutas & Legumes,Clementina
Cereais,Massa
Frutas & Legumes,Mirtilos
Cereais,Massa quebrada
Padaria & Pastelaria,Massa folhada
Cereais,Chocapic
Frutas & Legumes,Maçã royal gala
Frutas & Legumes,Rúcula
Bebidas,Ice tea
Frutas & Legumes,Pêssego
Frutas & Legumes,Melão
Padaria & Pastelaria,Pão
Frutas & Legumes,Espargos
Lacticínios,Molho bechamel
Carne & Peixe,Carne de porco
Snacks & Doces,Gelatina
Ingredientes & Temperos,Sal
Higiene & Saúde,Champô
Carne & Peixe,Bacon
Ingredientes & Temperos,Azeite
Bebidas,Vinho tinto
Bebidas,Vinho
Cereais,Arroz
Frutas & Legumes,Limão
Carne & Peixe,Camarões
Bebidas,Ice-Tea
Frutas & Legumes,Cogumelos
Snacks & Doces,Bolachas
Lacticínios,Queijo ovelha/cabra
Bebidas,Café
Lacticínios,Manteiga
Frutas & Legumes,Manga
Higiene & Saúde,Lâminas de barbear
Charcutaria,Fiambre
Frutas & Legumes,Uvas
Lacticínios,Iogurtes
Carne & Peixe,Salsicha
Cereais,Cereais
Lacticínios,Leite
Lacticínios,Cafetaria
Frutas & Legumes,Gengibre
Bebidas,Vinho verde
Snacks & Doces,Pimentão doce
Casa,Pilhas
Cereais,Aveia
Casa,Extensão corrente
Casa,Guardanapos
Casa,Sacos do lixo
Cereais,Bolachas
Ingredientes & Temperos,Vinagre
Carne & Peixe,Sardinha enlatada
Carne & Peixe,Bife
Casa,Escova
Frutas & Legumes,Azeitonas
Frutas & Legumes,Alho
Bebidas,Água
Carne & Peixe,Atum
Take away,Sopa
Frutas & Legumes,Courgette
Casa,Faca
Lacticínios,Leite condensado
Frutas & Legumes,Morangos
Ingredientes & Temperos,Óleo
Higiene & Saúde,Acondicionador
Snacks & Doces,Batatas fritas
Frutas & Legumes,Salada
Bebidas,Sumo
Casa,Papel de alumínio
Frutas & Legumes,Pepino
Higiene & Saúde,Gel duche
Carne & Peixe,Peixe
Padaria & Pastelaria,Tostas
Frutas & Legumes,Papaia
Frutas & Legumes,Tomates
Padaria & Pastelaria,Croissant
Frutas & Legumes,Lima
Carne & Peixe,Salmão
Higiene & Saúde,Sabonete
Higiene & Saúde,Flossers
Frutas & Legumes,Alface
Cereais,Esparguete
Carne & Peixe,Picanha
Snacks & Doces,Bolachas de milho
Ingredientes & Temperos,Banha
Frutas & Legumes,Nectarina
Padaria & Pastelaria,Bolachas marinheiras
Frutas & Legumes,Diospíros
Lacticínios,Queijo fatiado
Higiene & Saúde,Desodorizante roll-on Nivea man
Snacks & Doces,Doce
Bebidas,Chá
Cereais,Farinha
Frutas & Legumes,Maça
Frutas & Legumes,Aipo
Frutas & Legumes,Espinafres
Cereais,Quinoa
Cereais,Feijao
Lacticínios,Iogurte
Bebidas,Refrigerante
Ingredientes & Temperos,Açúcar
Lacticínios,Requeijão
Carne & Peixe,Fiambre
Bebidas,Filtros café
Casa,Proteção colchão
Casa,Amaciador
Carne & Peixe,Pasteis de bacalhau
Higiene & Saúde,Lima
Higiene & Saúde,Pasta de dentes
Casa,Limpa vidros
Casa,Detergente da loiça
Padaria & Pastelaria,Pão ralado
Bebidas,Vinho branco
Higiene & Saúde,Creme de mãos
Casa,Sacos lixo 100l
Higiene & Saúde,Gel cabelo
Frutas & Legumes,Tangerina
Cereais,Grão-de-bico
Higiene & Saúde,Toalhitas
Ingredientes & Temperos,Batatas fritas
Ingredientes & Temperos,Salsa
Higiene & Saúde,Água oxigenada
Casa,Detergente maquina loiça
Casa,Velas
Higiene & Saúde,Papel higiénico
Frutas & Legumes,Àgua c/ gás
Charcutaria,Mortadela
Frutas & Legumes,Cebolas
Snacks e Doces,Granola
Lacticínios,Queijo
Frutas & Legumes,Frutos silvestres
Padaria & Pastelaria,Bolachas de milho
Ingredientes & Temperos,Molho de tomate
Carne & Peixe,Carne vaca
Snacks & Doces,Mel
Cereais,Farinha trigo T65
Lacticínios,Queijo mozzarella fresco
Snacks & Doces,Puré de maça
Casa,Rolo papel de cozinha
Lacticínios,Natas
Carne & Peixe,Carne porco
Lacticínios,Queijo fresco
Bebidas,Cerveja
Lacticínios,Queijo mascarpone
Higiene & Saúde,Gel de banho
Lacticínios,Queijo flamengo fatiado
Ingredientes & Temperos,Aroma de baunilha
Frutas & Legumes,Cerejas
Ingredientes & Temperos,Maionese
Frutas & Legumes,Funcho
Snacks & Doces,Chocolate
Frutas & Legumes,Brócolos
Cereais,Farinha bolos
Carne & Peixe,Salsichas
Frutas & Legumes,Cebolinho
Ingredientes & Temperos,Azeitonas
Frutas & Legumes,Castanhas
Casa,Papel higiénico
Carne & Peixe,Sapateira
Frutas & Legumes,Ananás
Frutas & Legumes,Maçãs
Cereais,Feijão branco
Snacks & Doces,Pastilha elástica
Frutas & Legumes,Cenouras
Frutas & Legumes,Couve lombarda
Snacks & Doces,Gel duche
Frutas & Legumes,Melancia
Bebidas,Vinho branco cozinhar
Ingredientes & Temperos,Açúcar de baunilha
Higiene & Saúde,Creme rosto Nivea man
Take away,Pizza
Frutas e Legumes,Espargos
Frutas & Legumes, Roma
Ingredientes & Temperos,Mostarda
Frutas & Legumes,Peras
Bebidas,Leite c/ chocolate
Congelados,Pizza
Casa,Carne porco
Carne & Peixe,Filetes de pescada
Snacks & Doces,Tremoços
Frutas & Legumes,Nabo
Snacks & Doces,Fruta seca
Lacticínios,Queijo cheddar
Lacticínios,Queijo mozzarella ralado
Casa,Desinfetante roupa
Casa,Esfregona
Ingredientes & Temperos,Levedura
Cereais,Arroz basmati
Bricolage & Jardim,Carvão
Cereais,Massa lasanha
Snacks & Doces,Doce de abóbora
Carne & Peixe,Paio
Snacks & Doces,Nutella
Casa,Esfregão aço inox
Frutas & Legumes,Bananas
Snacks & Doces,Chocolate culinária
Casa,Papel vegetal
Cereais,Arroz carolino
Ingredientes & Temperos,Fermento em pó
Casa,Granola
Casa,Película aderente
Carne & Peixe,Pato
Congelados,Esparregado
Lacticínios,Manteiga s/ sal
Charcutaria,Chouriço
Lacticínios,Queijo parmesão
Charcutaria,Paio
Ingredientes & Temperos,Manjericão
Frutas & Legumes,Manjericão
